iter	Passed	Remaining
0	144	144361
1	145	72598
2	146	48660
3	147	36773
4	148	29609
5	149	24828
6	151	21427
7	151	18843
8	153	16932
9	154	15339
10	156	14100
11	157	12999
12	159	12114
13	160	11319
14	162	10664
15	163	10065
16	165	9559
17	166	9090
18	168	8688
19	169	8319
20	171	7988
21	172	7682
22	173	7379
23	175	7127
24	176	6871
25	177	6636
26	178	6435
27	180	6250
28	181	6078
29	182	5915
30	184	5764
31	185	5625
32	187	5490
33	188	5362
34	190	5240
35	191	5132
36	192	5022
37	194	4919
38	195	4821
39	196	4722
40	198	4641
41	200	4564
42	201	4488
43	203	4421
44	204	4348
45	206	4286
46	208	4220
47	209	4161
48	211	4101
49	213	4049
50	214	3993
51	216	3942
52	217	3891
53	219	3843
54	220	3795
55	222	3752
56	224	3706
57	225	3666
58	227	3624
59	228	3586
60	230	3546
61	232	3513
62	233	3472
63	235	3438
64	236	3403
65	238	3372
66	239	3339
67	241	3308
68	243	3280
69	245	3255
70	246	3225
71	248	3197
72	249	3169
73	251	3143
74	252	3114
75	253	3087
76	255	3062
77	256	3036
78	258	3012
79	259	2987
80	261	2966
81	262	2942
82	263	2910
83	264	2889
84	266	2863
85	267	2844
86	269	2825
87	270	2805
88	272	2786
89	273	2768
90	275	2753
91	277	2735
92	279	2721
93	280	2705
94	282	2687
95	284	2674
96	285	2657
97	286	2640
98	288	2624
99	289	2608
100	291	2591
101	292	2576
102	294	2560
103	295	2547
104	297	2534
105	299	2522
106	300	2508
107	302	2495
108	303	2481
109	305	2468
110	306	2453
111	308	2442
112	309	2428
113	310	2416
114	312	2402
115	313	2391
116	315	2379
117	316	2368
118	318	2356
119	319	2345
120	321	2332
121	322	2317
122	323	2304
123	324	2291
124	325	2281
125	327	2271
126	328	2259
127	330	2252
128	332	2244
129	334	2237
130	335	2224
131	337	2216
132	338	2206
133	339	2196
134	341	2188
135	343	2179
136	344	2170
137	345	2160
138	347	2151
139	348	2142
140	350	2134
141	351	2124
142	353	2116
143	354	2107
144	356	2100
145	357	2092
146	359	2084
147	360	2074
148	361	2066
149	363	2059
150	364	2051
151	366	2042
152	367	2035
153	369	2028
154	370	2022
155	372	2016
156	374	2009
157	375	2002
158	377	1996
159	378	1988
160	380	1980
161	381	1973
162	382	1966
163	384	1960
164	386	1953
165	387	1947
166	388	1940
167	390	1933
168	392	1927
169	393	1921
170	395	1916
171	396	1909
172	398	1902
173	399	1895
174	400	1889
175	402	1883
176	403	1877
177	405	1871
178	407	1868
179	408	1863
180	410	1858
181	412	1852
182	413	1848
183	415	1841
184	417	1837
185	418	1832
186	420	1827
187	421	1822
188	423	1817
189	424	1811
190	426	1805
191	427	1800
192	429	1794
193	430	1788
194	432	1783
195	433	1778
196	434	1773
197	436	1768
198	437	1762
199	439	1757
200	440	1752
201	442	1747
202	443	1742
203	445	1737
204	446	1732
205	448	1727
206	449	1722
207	451	1717
208	453	1714
209	454	1709
210	456	1705
211	458	1702
212	460	1700
213	461	1695
214	463	1691
215	464	1685
216	466	1682
217	467	1677
218	469	1673
219	471	1670
220	472	1665
221	473	1660
222	475	1655
223	476	1651
224	478	1646
225	479	1642
226	481	1638
227	483	1635
228	484	1631
229	486	1628
230	488	1625
231	489	1620
232	491	1616
233	492	1613
234	494	1608
235	496	1606
236	497	1603
237	499	1600
238	500	1594
239	502	1591
240	504	1589
241	506	1585
242	507	1581
243	509	1578
244	511	1574
245	513	1572
246	514	1568
247	516	1567
248	518	1564
249	520	1560
250	521	1557
251	523	1552
252	524	1548
253	525	1544
254	527	1540
255	528	1536
256	530	1533
257	531	1529
258	533	1526
259	535	1523
260	537	1520
261	538	1517
262	540	1514
263	541	1510
264	543	1506
265	545	1504
266	546	1500
267	548	1496
268	549	1493
269	550	1489
270	552	1485
271	553	1481
272	554	1477
273	556	1474
274	558	1471
275	559	1468
276	561	1465
277	563	1462
278	564	1459
279	566	1456
280	567	1453
281	569	1450
282	571	1447
283	573	1444
284	574	1441
285	575	1437
286	577	1434
287	578	1430
288	580	1428
289	581	1424
290	583	1422
291	585	1418
292	586	1415
293	587	1411
294	589	1408
295	590	1405
296	592	1402
297	593	1399
298	595	1396
299	597	1393
300	598	1390
301	600	1387
302	606	1395
303	608	1392
304	609	1389
305	611	1386
306	613	1384
307	614	1380
308	616	1377
309	617	1375
310	619	1372
311	621	1369
312	623	1368
313	625	1365
314	626	1362
315	627	1359
316	629	1356
317	631	1354
318	633	1351
319	634	1348
320	636	1345
321	637	1342
322	639	1339
323	641	1337
324	643	1335
325	644	1332
326	645	1329
327	647	1326
328	649	1324
329	651	1322
330	652	1319
331	654	1316
332	655	1313
333	657	1310
334	658	1307
335	659	1303
336	661	1301
337	662	1297
338	663	1294
339	665	1291
340	667	1289
341	669	1287
342	670	1284
343	672	1282
344	674	1279
345	675	1276
346	677	1274
347	678	1271
348	680	1269
349	681	1266
350	683	1263
351	685	1261
352	686	1258
353	688	1255
354	689	1252
355	691	1250
356	692	1247
357	694	1245
358	695	1242
359	697	1239
360	698	1236
361	699	1233
362	701	1231
363	703	1228
364	704	1225
365	705	1222
366	707	1219
367	708	1216
368	709	1214
369	711	1211
370	713	1209
371	714	1206
372	716	1203
373	717	1201
374	718	1198
